timestamp	run_name	eval_loss	perplexity	train_loss	checklist_score	peak_vram_mb	train_time_min	lora_rank	lora_alpha	learning_rate	num_epochs	seq_length	batch_size	grad_accum	dataset_rows
2026-04-01T16:19:30	r16_a16_lr0.0002_s5_seq2048	nan	nan	1.187268	0.00	20963.8	7.2	16	16	0.0002	1	2048	1	4	5133
2026-04-01T17:04:17	r16_a16_lr0.0002_s300_seq2048	1.036439	2.8192	1.071752	0.22	20963.9	28.3	16	16	0.0002	1	2048	1	4	5133
